target_word,similar_word,similar_score
good,good,1.0
good,perfect,0.5731238516354992
good,enjoy,0.5450341186681139
good,nice,0.5145981457803452
good,great,0.5015431394039884
good,delicious,0.48038347323091557
good,buy,0.46814480535971037
good,fair,0.46514690585753937
good,day,0.4572855155570328
good,afternoon,0.45264852125188404
good,peach,0.4470380629446107
bad,bad,1.0
bad,really,0.4977215928011649
bad,one,0.47725026552012695
bad,fine,0.4587620490282005
bad,terrible,0.4381197523527507
bad,tasted,0.4201959165317062
bad,quite,0.4147198783392372
bad,far,0.4099895916924774
bad,ok.,0.4073838570118944
bad,n't,0.40477123195334563
bad,feel,0.4032371852660831
food,food,1.0
food,cook,0.5132779809942848
food,dishes,0.47887504282295024
food,chicken,0.47368652006327894
food,stores,0.470670032603155
food,bulk,0.4683981957100818
food,asian,0.46353060775958976
food,particular,0.46018199102376545
food,chinese,0.44760310783664536
food,dish,0.4437376389658261
food,pepper,0.44004339570531625
apple,apple,1.0
apple,pie,0.5358276291003158
apple,spice,0.5201374527011887
apple,spicy,0.5106228636291192
apple,cinnamon,0.47372270458260757
apple,flavors,0.4604547101969809
apple,pumpkin,0.45692834206998545
apple,light,0.44711151898195245
apple,balance,0.4438673770398075
apple,quite,0.4403613465364471
apple,blend,0.4367142209476407
fresh,fresh,1.0
fresh,stay,0.4794571472886362
fresh,open,0.4675796194120081
fresh,packaging,0.44566152267750214
fresh,otherwise,0.44122450015871806
fresh,freshness,0.43093191640451356
fresh,smells,0.4286089448036017
fresh,opened,0.4260757981080425
fresh,helps,0.4259153341260171
fresh,leave,0.41774215208425425
fresh,individually,0.40803741280722616
yummy,yummy,1.0
yummy,tasty,0.5167982904955455
yummy,dessert,0.45862342817851665
yummy,straight,0.4254002508282039
yummy,awesome,0.4072513158221691
yummy,dishes,0.40625097032539836
yummy,beef,0.3987254424561475
yummy,wonderful,0.3879373655434941
yummy,...,0.38779466187727807
yummy,milk,0.38604807452438183
yummy,love,0.38554757891016
water,water,1.0
water,steep,0.6027125808663124
water,hot,0.6018599501969216
water,pour,0.597431716436786
water,minutes,0.5873902840082172
water,heat,0.5762837406695642
water,boiling,0.5714496102543112
water,glass,0.5089545064005927
water,teabag,0.5054377283100029
water,teaspoon,0.5042736828101564
water,brewed,0.5012200967665827
meal,meal,1.0
meal,snack,0.539822647271383
meal,soups,0.5103760456572417
meal,veggies,0.4978988715548096
meal,finish,0.49265952729170825
meal,hot,0.46903651837054783
meal,drink,0.4462040550898623
meal,warm,0.4450076272126653
meal,meat,0.4294229992908144
meal,bed,0.4281528363022007
meal,salads,0.4264056760991928
look,look,1.0
look,forward,0.6237901304100364
look,would,0.5056536997314655
look,totally,0.4960576008162014
look,guess,0.4869071290601379
look,trying,0.48433025724310297
look,looking,0.4667624994577988
look,try,0.4654250116255727
look,grey,0.43548602105597933
look,time,0.430495063722784
look,bought,0.4245914255682781
amazing,amazing,1.0
amazing,absolutely,0.563856928963742
amazing,fantastic,0.5535185000746389
amazing,excellent,0.5451084738327759
amazing,lovely,0.5243228388517805
amazing,fabulous,0.5059642453925312
amazing,beautiful,0.49958233085911075
amazing,wonderful,0.4894416430494535
amazing,great,0.46179587916703335
amazing,delicious,0.45409952807526544
amazing,quality,0.45337323280319475
